county,cases,deaths
Alameda,4319856,75187.0
Alpine,2827,0.0
Amador,85707,2343.0
Butte,516050,7094.0
Calaveras,65984,2172.0
Colusa,100912,955.0
Contra Costa,3292835,40409.0
Del Norte,41567,154.0
El Dorado,294763,700.0
Fresno,5401142,66630.0
Glenn,115881,811.0
Humboldt,115677,1538.0
Imperial,2486469,56509.0
Inyo,39360,2197.0
Kern,6042885,62450.0
Kings,1521392,14307.0
Lake,112498,1970.0
Lassen,226223,238.0
Los Angeles,59976957,1331978.0
Madera,839936,11722.0
Marin,1243628,19948.0
Mariposa,17618,445.0
Mendocino,187074,3037.0
Merced,1649808,24119.0
Modoc,9011,2.0
Mono,54922,464.0
Monterey,1997925,15445.0
Napa,384599,2818.0
Nevada,147546,1854.0
Orange,11731923,225712.0
Placer,838843,9737.0
Plumas,18471,7.0
Riverside,12947120,233000.0
Sacramento,4674911,77308.0
San Benito,261093,2292.0
San Bernardino,12451039,171282.0
San Diego,10827207,167372.0
San Francisco,2289679,23513.0
San Joaquin,3823964,72833.0
San Luis Obispo,768331,5318.0
San Mateo,2089742,33271.0
Santa Barbara,1801476,19782.0
Santa Clara,4664377,74379.0
Santa Cruz,537760,4073.0
Shasta,407494,5204.0
Sierra,1541,0.0
Siskiyou,58878,258.0
Solano,1377978,12578.0
Sonoma,1530293,19779.0
Stanislaus,3207195,59545.0
Sutter,391378,2754.0
Tehama,164470,1991.0
Trinity,10621,45.0
Tulare,3125147,52701.0
Tuolumne,102183,1072.0
Ventura,2713987,27823.0
Yolo,607446,12435.0
Yuba,250430,1549.0
